"","x"
"1",3.67402407358098
"2",3.11949014728546
"3",0.355112890916741
"4",1.94895208880862
"5",0.065445683485164
"6",0.604023981881607
"7",0.33160264899388
"8",0.00564617381023935
"9",0.0968063354752152
"10",0.0412405924459987
"11",0.0912400258933345
"12",0.356032773366466
"13",0.534143324654654
"14",0.480975646607419
"15",0.271700763888383
"16",0.394046983801342
"17",0.195340726013286
"18",0.86229981157425
"19",0.22778839999474
"20",0.406738770824179
"21",0.0720128713066071
"22",1.02210431272625
"23",0.1405392787401
"24",4.39366860225152
"25",0.413759667911882
"26",0.675049311613793
"27",0.0800405021060723
"28",0.00145474454215023
"29",0.347021494338825
"30",0.261038030526143
"31",0.696160574271177
"32",0.0353413594773337
"33",0.73325083615813
"34",0.371314039950291
"35",0.667143742973257
"36",0.401295148757439
"37",0.133070423112438
"38",0.00564399246589403
"39",0.0286353689642165
"40",1.19038457551016
"41",0.217184157981869
"42",0.193154129364783
"43",0.0641926088031277
"44",0.775070049586086
"45",0.0619280571384522
"46",0.28304742721923
"47",0.263676829531252
"48",1.2130923582262
"49",1.11254910083467
"50",0.116937483834784
"51",0.45366219066979
"52",0.0417950767028883
"53",0.245337440481284
"54",0.765199095694367
"55",0.239509426743914
"56",0.373930255857654
"57",0.0130344719953525
"58",0.669981177991484
"59",0.228295254100082
"60",75666.7682852242
"61",0.464437870857077
"62",0.175173266159484
"63",0.0186291414713757
"64",0.00764382051023295
"65",0.0107269630421184
"66",0.05646700885137
"67",1.31358280452962
"68",0.112192336765497
"69",0.223192877691682
"70",5.62459175743115
"71",0.125981457808253
"72",0.728550673189194
"73",0.345321544261557
"74",1.40332463995221
"75",0.241098197876561
"76",0.138529097862865
"77",0.229407070115022
"78",0.894735422946507
"79",0.0111342726945605
"80",0.527457285102215
"81",0.390010286835047
"82",0.466750111434733
"83",0.262637759236517
"84",0.309487969813885
"85",1.21568018728543
"86",0.268999361612265
"87",0.339075876749392
"88",0.148978964550601
"89",0.263834559530097
"90",0.28056703482292
"91",1.01615321288885
"92",0.70798691611139
"93",0.837763006853608
"94",0.0613684940444906
"95",0.397394840043579
"96",0.248065167853724
"97",0.551734051417234
"98",0.454625037475891
"99",0.0414546967634261
"100",1.49348268439982
"101",0.918643051339302
"102",0.0275406394073774
"103",0.371443384954557
"104",2.67738886302265
"105",0.215946389992331
"106",1.85323990416893
"107",1.33347396965429
"108",0.131902149852846
"109",0.627635569799579
"110",0.629858601545223
"111",0.119980979627466
"112",0.224822359913836
"113",0.235848933430896
"114",0.605810027375041
"115",0.109663046763222
"116",0.39160017940944
"117",0.0282714105161692
"118",0.00813356383115992
"119",0.390772828144652
"120",0.0198358427523267
"121",0.0229355071176603
"122",0.0180546656390726
"123",24.4775756671269
"124",0.390180190641601
"125",1.04682444602263
"126",0.355879829002153
"127",30218.4586680432
"128",0.737331142974491
"129",0.460966805648162
"130",1.11620428576901
"131",521320.078114881
"132",0.234358121661721
"133",0.119101924658078
"134",0.616175692223927
"135",0.00190255694047343
"136",2.3619510866918
"137",0.0335185554223488
"138",0.0260457093746668
"139",0.286070221055452
"140",0.0368586143976826
"141",0.0551779959567864
"142",850.127096131133
"143",2.20188136851731
"144",0.128917126770273
"145",0.0507235100235486
"146",0.0297210853846293
"147",2.21905516119811
"148",1.83254598089501
"149",0.247802444119233
"150",0.109257801705928
"151",0.239499529609316
"152",1.82772548183347
"153",1.69713229365598
"154",0.323958047121204
"155",0.00398927094821849
"156",0.69758153502088
"157",0.66741202415942
"158",0.37246750451964
"159",0.291630619976727
"160",0.0502788176824069
"161",0.0469838165507987
"162",0.094042761644558
"163",0.0732595027073975
"164",0.42660893866121
"165",0.162055774246728
"166",0.614308045317217
"167",0.210383686810569
"168",0.428905887506734
"169",1.75410808924972
"170",0.213460938892928
"171",0.625549662325776
"172",1.00651829648889
"173",1.06665327953124
"174",2.01895675067312
"175",0.0746701833214195
"176",0.299250153412403
"177",0.340023966173412
"178",0.0639191313076583
"179",0.0146600434204642
"180",0.0403598680716772
"181",3.32864966817607
"182",0.667638382225947
"183",0.887570219574131
"184",0.240006598816415
"185",0.17468641143881
"186",0.393660602355277
"187",0.0608781076555754
"188",0.0545685734751876
"189",0.376572951783213
"190",0.816550669164235
"191",0.907451527454876
"192",0.136985319577001
"193",0.104208106584593
"194",0.0190337441288176
"195",0.448617939502275
"196",0.0695237749636361
"197",2.49343959933691
"198",0.133425973660322
"199",0.132071403305558
"200",0.134623471541388
"201",0.828557787045509
"202",0.197836548417752
"203",0.538778529882692
"204",0.0863586941619703
"205",0.0924654088285181
"206",0.210832975135051
"207",0.221145770461234
"208",4.11453568769803
"209",0.0356651831585012
"210",1.55929077486815
"211",0.293576456092574
"212",0.210119980708965
"213",0.406202826290606
"214",0.390386762227685
"215",0.119980374326067
"216",0.452987764094501
"217",0.150155076805071
"218",2.63223217232438
"219",0.315054905972835
"220",0.225771574813011
"221",0.43627404505931
"222",0.0715617904015615
"223",0.641978668815672
"224",0.866881804855487
"225",0.287635173969313
"226",0.490509950257281
"227",0.194155763694858
"228",0.137553447819135
"229",1.40585031216812
"230",23.4861526513821
"231",0.3055125214741
"232",0.858022251457276
"233",0.285945510676799
"234",0.861252549973066
"235",0.196751104315172
"236",1.05654883188325
"237",0.0538076019347891
"238",1.87637457902153
"239",1.99354275654544
"240",1.21958302453669
"241",0.530735586516629
